EventId,EventTemplate,Occurrences
0,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>",1
1,"acquire lock=<*>, flags=<*>, tag=""View Lock"", name=<*>, ws=<*>, uid=<*>, pid=<*>",1
2,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>userId=<*>",199
3,Skipping AppWindowToken{<*> token=<*> ActivityRecord{<*> u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,2
4,visible is <*>,5
5,mVisiblity.getValue is <*>,5
6,"release:lock=<*>, flg=<*>, tag=""View Lock"", name=<*>, ws=null, uid=<*>, pid=<*>",1
7,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",65
8,updateDimmedActivatedHideSensitive overlap:<*>,65
9,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,81
10,"release:lock=<*>, flg=<*>, tag=""*launch*"", name=<*>, ws=WorkSource{<*>}, uid=<*>, pid=<*>",8
11,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",200
12,cancelAutohide,15
13,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
14,Destroying surface Surface(name=<*>) called by <*>,25
15,"release:lock=<*>, flg=<*>, tag=""WindowManager"", name=android"", ws=WorkSource{<*>}, uid=<*>, pid=<*>",1
16,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=0x<*>, uid=<*>",69
17,"orientation change is complete, call stopFreezingDisplayLocked",1
18,Screen frozen for +<*>ms due to Window{<*> u0 <*>},1
19,startAnimation begin,1
20,startAnimation end,1
21,"release:lock=<*>, flg=<*>, tag=""SCREEN_FROZEN"", name=android"", ws=null, uid=<*>, pid=<*>",1
22,remove(PendingIntent{<*>: PendingIntentRecord{<*>} <*>}) changed bounds; rebatching,2
23,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",3
24,"Application requested orientation <*>, got rotation <*> which has compatible metrics",3
25,"acquire lock=<*>, flags=<*>, tag=""RILJ_ACK_WL"", name=<*>, ws=<*>, uid=<*>, pid=<*>",10
26,shouldBlockLocation running ...,37
27,shouldBlockLocation ret:<*>,37
28,getNeighboringCellInfo calling app is <*>,5
