EventId,EventTemplate,Occurrences
0,Component State Change: Component <*> is in the unavailable state (HWID=<*>),12
1,clusterAddMember (command <*>),2
2,risBoot (command <*>),1
3,bootGenvmunix (command <*>),2
4,boot (command <*>),67
5,wait (command <*>),66
6,halt (command <*>),3
7,Command has completed successfully,10
8,Targeting domains:node-<*> nodes:node-[<*>] child of command <*>,5
9,Targeting domains:node-D7 and nodes:node-[<*>],1
10,Targeting domains:node-<*> nodes:node-<*>,2
11,Targeting domains:node-D[<*>] and nodes:node-[<*>],1
12,psu failure\ ambient=<*>,5
13,Temperature (<*>) exceeds warning threshold,2
14,ClusterFileSystem: There is no server for ServerFileSystem domain storage234,1
15,ClusterFileSystem: There is no server for ServerFileSystem domain storage1412,1
16,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>,30
17,NIFF: node node-<*> detected a failed network connection on network <*> via interface alt0,2
18,ServerFileSystem: An ServerFileSystem domain panic has occurred on storage<*>,1
19,Fan speeds ( <*> <*> <*> **** <*> <*> ),79
20,Fan speeds ( <*> <*> <*> <*> <*> <*> ),11
21,Command has been aborted,1
22,power/control problem,1
23,Link error,13
24,Link in reset,9
25,Link ok,13
26,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>,4
27,ServerFileSystem: ServerFileSystem domain <*> is full,12
28,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>,36
29,running,162
30,blocked,15
31,not responding,60
32,configured out,91
33,inconsistent nodesets <*>,4
34,active,5
35,not-responding,1
36,starting,1
37,closing,1
38,normal,206
39,warning,205
40,ambient=<*>,292
41,critical,20
42,Linkerror event interval expired,394
43,risBoot (command <*>) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,1
44,boot (command <*>) Error: HALT asserted\ cannot continue,1
45,Failed subcommands <*>,1
46,link errors remain current,56
47,NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0,45
48,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0,44
49,NIFF: node node-<*> has detected an available network connection on network <*> via interface <*>,2
