EventId,EventTemplate,Occurrences
0,onStandStepChanged <*>,260
1,onExtend:<*> <*> <*> <*>,273
2,onReceive action: android.intent.action.SCREEN_ON,17
3,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,17
4,flush sensor data,17
5,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,242
6,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,241
7,calculateCaloriesWithCache totalCalories=<*>,241
8,calculateAltitudeWithCache totalAltitude=<*>,241
9,REPORT : <*> <*> <*> <*>,136
10,onReceive action: android.intent.action.SCREEN_OFF,17
11,isScreenOn true,1
12,"screen status unknown,think screen on",1
13,processHandleBroadcastAction action:android.intent.action.TIME_TICK,144
14,flushTempCacheToDB by stand,1
15,Alarm uploadStaticsToDB totalSteps=<*>Calories:<*>Floor:<*>Distance:<*>,1
16,writeDataToDB size <*>,1
17,"upLoadOneMinuteDataToEngine time=<*>,<*>,<*>,<*>",5
18,getBinderPackageName packageName = <*>,8
19,"getAppContext() isAppValid health or wear, packageName = <*>",2
20,insertHiHealthData() checkAppType <*> appID = <*>,2
21,"insertHiHealthData() size = <*>,app = <*>,One Data Type = <*>,packageName = <*>,writeStatType = <*>",2
22,"saveHealthDetailData() deviceID = <*>,clientID=<*>,id=<*>",2
23,"saveStatData() type =<*>,time=<*>,statClient=<*>,who is <*>",4
24,"new date =<*>, type=<*>,<*>,old=<*>",17
25,"saveHealthDetailData() saveOneDetailData fail hiHealthData = <*>,type = <*>",2
26,"bulkSaveDetailHiHealthData() size = <*>,totalTime = <*>",2
27,startListenerChange subscribeList = [<*>],2
28,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = <*>,errorMessage = ERR_DATA_INSERT",1
29,insertHiHealthData() end totalTime = <*>,2
30,uploadStaticsToDB() onResult type = <*> obj=<*>,1
31,uploadStaticsToDB failed message=<*>,1
32,checkInsertStatus stepSum or calorieSum is enough,2
33,checkInsertStatus stepStatSum or calorieStatSum is enough,2
34,"stepSyncOrNot appSynTimes is <*>, statsyncTimes is <*>",2
35,"startInsertSportSync start auto sync,app is <*>",2
36,"checkFirstSyncByType no such data in db ,type is <*> deviceCode is <*>",2
37,"startInsertSportSync first <*> steps sync,do all sync",2
38,"startSync hiSyncOption = HiSyncOption{syncAction=<*>, syncMethod=<*>, syncScope=<*>, syncDataType=<*>, syncModel=<*>, pushAction=<*>},app = <*> who = <*>",5
39,needAutoSync autoSyncSwitch is open,5
40,"initDataPrivacy the dataPrivacy switch is open, start push health data!",5
41,initDataPrivacy the dataPrivacy is true,5
42,"initUserPrivacy the userPrivacy switch is open, start push user data!",5
43,initUserPrivacy the userPrivacy is <*>,5
44,ifCanSync not! no cloud version,5
45,sendSyncFailedBroadcast,5
46,"saveRealTimeHealthDatasStat() size = <*>,totalTime = <*>",1
47,InsertCallBack() onSuccess type = <*> data=<*>,1
48,InsertEvent success begin:<*> end:<*>,1
49,setWriteDBLastDataMinute=<*>,1
50,setWriteDBLastDataMinute success,1
51,flush2DB result success,1
52,"timeStamp back,extendReportTimeStamp=<*>",5
53,startTimer start autoSync,3
54,stepSyncOrNot appSynTimes is <*>,3
55,getTodaySportData mStepsRecordManager=<*>,6
56,theDayChanged <*>,1
57,initEnviroument,1
58,getStepCounterStatus,1
59,getStepCounterStatus=<*>,1
60,reStartStepCounter,1
61,registersensorsuccess: <*>,1
62,clear(),1
63,getTodayBasicStandardSteps=<*>##<*>##<*>,2
64,tryToRecordAsBasicStepData bWrite <*>,1
65,getDiffTotalSteps=<*>##<*>,2
66,setBasicStandardSteps basicStandardStep=<*> restartSteps=<*>,1
67,setDiffTotalSteps=<*>,1
68,tryToReloadTodayBasicSteps<*>|<*>|<*>|<*>,1
69,reload : <*> restar <*>,1
70,next day:<*>,1
71,setGoalNotifiShownRecord <*> false,1
72,closeNotification...,1
73,deleteHealthNotification(),1
74,"checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is <*> oldDay is <*>",1
