EventId,EventTemplate,Occurrences
0,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,36
1,Thermal pressure state: <*> Memory pressure state: <*>,39
2,FA||Url||taskID[<*>] dealloc,17
3,ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],12
4,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],16
5,mDNS_DeregisterInterface:Frequent transitions for interface <*> (<*>:<*>:<*>:<*>:<*>),2
6,"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>",7
7,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>",6
8,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,9
9,<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,16
10,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,15
11,"ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",9
12,AppleCamIn::systemWakeCall - messageType = <*>,56
13,setting hostname to <*>,7
14,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",166
15,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,7
16,[<*>] <<<< <*>>>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,3
17,AirPort: Link Down on <*>. Reason <*> (Unspecified).,7
18,"PM response took <*> ms (<*>, powerd)",9
19,"ARPT: <*>: wl0: Roamed or Switched channel, reason #<*>, bssid <*>:<*>:<*>:<*>, last RSSI <*>",3
20,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,15
21,"IO80211AWDLPeerManager::setAwdlSuspendedMode()Suspending AWDL, enterQuietMode(true)",11
22,"network_reachability_changed : network is not reachable, netbiosd is shutting down",1
23,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
24,<*> deny network-outbound <*>,29
25,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>:<*>,27
26,AirPort: Link Up on en0,4
27,Sandbox: <*> deny(<*>) network-outbound <*>,29
28,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],12
29,AirPort: Link Up on <*>,9
30,AppleThunderboltGenericHAL:: earlyWake - complete - took <*> milliseconds,22
31,mDNS_DeregisterInterface:Frequent transitions for interface en0 (<*>),1
32,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <*>,11
33,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size <*>",10
34,en0::IO80211Interface::postMessage bssid changed,10
35,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_ Reporting_supported = <*>,6
36,mDNS_RegisterInterface:Frequent transitions for interface en0 (FE80:<*>:<*>:<*>:C6B3:<*>:FECD:<*>),3
37,AppleCamIn::wakeEventHandlerThread,20
38,"ARPT: <*>: wl0: setup_keepalive: Local port: <*>, Remote port: <*>",8
39,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (<*>) UASuggestedActionType=<*> (<*>)/(<*>) opts=(<*>) when=<*>,14
40,en0: channel changed to <*>,14
41,ARPT: <*>: AQM agg results <*> len hi/lo: <*> BAbitmap(<*>) <*> <*> <*> <*>,7
42,"CCFile::captureLog Received Capture notice id: <*>, reason = AuthFail:sts:<*>_rsn:<*>",15
43,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDed,14
44,Unrecognized attribute value: <*>,8
45,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",12
46,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",2
47,<*>: BTLE scanner Powered On,8
48,button report: <*>,20
49,<*>:<*>:<*> : BTLE discovered device with hash <*> <*> <*>,1
50,"securityd_xpc_dictionary_handler cloudd[<*>] copy_matching Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",4
51,Location icon should now be in state 'Inactive',20
52,"ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",11
53,ARPT: <*>: wl0: MDNS: IPV4 Addr: <*>,4
54,<*>-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! <*>,10
55,Setting BTCoex Config: <*>,7
56,Captive: [CNInfoNetworkActive:<*>] en0: SSID '<*>' making interface primary (cache indicates network not captive),3
57,<*> IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,6
58,<*> Hashing of the primary key failed. Dropping the journal record.,17
59,<*>:<*>:<*> : Finished generating hashes,1
60,Captive: CNPluginHandler en0: Evaluating,4
61,tcp_connection_destination_perform_socket_connect <*> connectx to <*>@<*> failed: [<*>] Network is down,3
62,AirPort: Link Down on en0. Reason <*> (DisAssociated because station leaving).,5
63,USBMSC Identifier (non-unique): <*> <*> <*> <*>,12
64,CCXPCService::setStreamEventHandlerRegistered for notification callback.,2
65,[<*>/<*>:WARNING:dns_config_service_posix.cc(<*>)] Failed to read DnsConfig.,4
66,Saw change in network reachability (isReachable=<*>),4
67,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (<*>),8
68,en0: BSSID changed to <*>,16
69,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,44
70,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,13
71,"RTC: Maintenance <*> <*>:<*>, sleep <*> <*>:<*>",5
72,"en0: channel changed to <*>,+<*>",6
73,RTC: PowerByCalendarDate setting ignored,11
74,Location icon should now be in state 'Active',17
75,en0: 802.11d country code set to <*>.,5
76,"ARPT: <*>: wl0: setup_keepalive: Seq: <*>, Ack: <*>, Win size: <*>",8
77,<*>(<*>) deny mach-lookup com.apple.networking.captivenetworksupport,6
78,[HID] [MT] AppleMultitouchDevice::willTerminate entered,3
79,[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,1
80,PM Stats: Hibernate read took <*> ms,1
81,dnssd_clientstub ConnectToServer: connect() failed path:<*> Socket:<*> Err:-1 Errno:<*> Operation not permitted,13
82,"pages <*>, wire <*>, act <*>, inact <*>,cleaned <*>, spec <*>,zf <*>,throt <*>,compr <*>,xpmapped <*>",4
83,"VDCAssistant: Found a camera (<*>) , but was not able to start it up (<*> -- (os/kern) successful)",1
84,handle_will_sleep_auth_and_shield_windows: Reordering authw <*> (lock state: <*>),1
85,"2017-07-01 19:46:26.133 GoogleSoftwareUpdateAgent[31702/0x7000002a0000] [lvl=2] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Checking with local engine: <KSUpdateEngine:0x100259c60 ticketStore=\<KSPersistentTicketStore:0x100253770 store=\<KSKeyedPersistentStore:0x100254d10 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile=\<KSLockFile:0x100254d80 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> processor=\<KSActionProcessor:0x100259e70 delegate=\<KSUpdateEngine:0x100259c60> is Processing=NO actionsCompleted=0 progress=0.00 errors=0 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=() > delegate=(null) serverInfoStore=\<KSServerPrivateInfoStore:0x1002594d0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=0 >",1
86,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>>.,20
87,Error returned from iconservicesagent: <*>,13
88,<*> __tcp_connection_tls_session_callback_write_block_invoke.<*> error <*>,8
89,"SecOSStatusWith error:[<*>] Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",5
90,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,26
91,WARNING: Type1 font data isn't in the correct format required by the Adobe Type 1 Font Format specification.,1
92,"device_generate_desktop_screenshot: authw <*>(<*>), shield <*>(<*>)",3
93,[<*>] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-8].,5
94,"NETWORK: requery, <*>, <*>, <*>, <*>, <*>, items, fQueryRetries, <*>, fLastRetryTimestamp, <*>",17
95,Previous sleep cause: <*>,15
96,Wake reason: RTC (Alarm),5
97,AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,15
98,network changed: <*>,10
99,hibernate_page_list_setall found pageCount <*>,2
100,[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,2
101,[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- <*>,1
102,<*> [lvl=<*>] -[KSAgentApp updateProductWithProductID:usingEngine:] Checking for updates for <*> using engine <KSUpdateEngine:<*> ticketStore=<KSPersistentTicketStore:<*> store=<KSKeyedPersistentStore:<*> path=<*> lockFile=<KSLockFile:<*> path=<*> locked=NO >> processor=<KSActionProcessor:<*> delegate=<KSUpdateEngine:<*> is Processing=NO actionsCompleted=0 progress=0.00 errors=0 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=(<*> ) > delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:<*> path=<*> errors=0 >,1
103,<*>/<*>/<*> <*>:<*>:<*> | I | VoipWrapper | DAVEngineImpl.cpp:<*>:Close | close video chat. llFriendUIN = <*>.,4
104,"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': No, 'TimeRemaining': <*>",6
105,Bluetooth -- LE is supported - Disable LE meta event,11
106,<*>:<*>:<*> : Discoverable mode changed to Off,2
107,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route,18
108,Captive: CNPluginHandler en0: Authenticated,7
109,ARPT: <*>: wl0: setup_keepalive: Local IP: <*>,4
110,TBT W (<*>): <*> [x],4
111,network changed: <*> Proxy,3
112,mDNS_RegisterInterface:Frequent transitions for interface <*> (<*>:<*>:<*>:<*>:<*>),1
113,ASL Sender Statistics,9
114,<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched '/Users/<*>/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle/Contents/MacOS/ksfetch' with process id: <*>,1
115,"<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'<*>'.",2
116,<*>-<*>-<*> <*>:<*>:<*> ksfetch[<*>/<*>] [lvl=<*>] main() ksfetch fetching URL (<NSMutableURLRequest: <*> { URL: <*> }) to folder:<*>,2
117,"Path not allowed in target domain: type = pid, path = <*> error = <*>: The specified service did not ship in the requestor's bundle, origin = <*>",15
118,[<*>] <<<< IQ-CA >>>> piqca_setUsePreQueue: (<*>) rejecting report of layer being serviced - IQ has not yet begun to update,4
119,[<*>] itemasync_SetProperty signalled err=<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*> line <*>,5
120,KeychainGetICDPStatus: keychain: <*>,14
121,host connection <NSXPCConnection: <*>>> connection from pid <*> invalidated,1
122,Error in CoreDragRemoveReceiveHandler: <*>,1
123,ARPT: <*>: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,9
124,"ARPT: <*>: IOPMPowerSource Information: onWake, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>",3
125,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>,1
126,Captive: CNPluginHandler en0: Inactive,4
127,<*>: IPv6 address <*> has no prefix,9
128,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}",1
129,"device_generate_lock_screen_screenshot: authw <*>[<*>, <*>, <*>, <*>] shield <*>, dev [<*>]",3
130,<*>-<*>-<*> <*>:<*>:<*> <*>:<*> [lvl=<*>] KSHelperReceiveAllData() KSHelperTool read <*> bytes from stdin.,3
131,[<*>:<*>:<*>] FigAgglomeratorSetObjectForKey signalled err=<*> (kFigStringConformerError_ParamErr) (NULL key) at <*>:<*>:<*>,11
132,<*>: <*>: <*>: BTLE scanner Powered Off,1
