EventId,EventTemplate,Occurrences
0,session closed for user <*>,24
1,session opened for user <*> by (uid=<*>),19
2,(<*>) CMD (run-parts <*>),14
3,data_thread() got not answer from any [Thunderbird_<*>] datasource,819
4,"synchronized to <*>, stratum <*>",568
5,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,62
6,[ib_sm_sweep.c:<*>]: No topology change,62
7,[ib_sm_sweep.c:<*>]: No configuration change required,62
8,Local disconnected: Connection closed.,3
9,connection lost: 'Connection closed.',3
10,unable to qualify my own domain name <*> -- using short name,10
11,"<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",10
12,"<*>: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=Deferred: Connection refused by [<*>]",10
13,DHCPDISCOVER from <*> via eth1,5
14,DHCPOFFER on <*> to <*> via eth1,5
15,DHCPDISCOVER from <*> via eth1: network A_net: no free leases,15
16,DHCPACK on <*> to <*> via eth1,3
17,DHCPREQUEST for <*> (<*>) from <*> via eth1,3
18,START: tftp pid=<*> from=<*>,1
19,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>,9
20,RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),11
21,kernel time sync disabled <*>,1
22,time reset +<*> s,1
23,Received SNMP packet(s) from <*>,1
24,kernel time sync enabled <*>,1
25,(<*>) CMD (<*> <*>),5
26,My unqualified host name <*> unknown; sleeping for retry,5
27,CentOS-<*> (Kernel Module GPG key),1
28,(supports S0 S4 S5),1
29,DSDT (v001 DELL PE BKC <*> MSFT <*>) @ <*>,1
30,FADT (v001 DELL PE BKC <*> MSFT <*>) @ <*>,1
31,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,5
32,HPET id: <*> base: <*>,1
33,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> dfl dfl),1
34,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> high level),1
35,IOAPIC (id[<*>] address[<*>] gsi_base[<*>]),3
36,IRQ0 used by override.,1
37,IRQ2 used by override.,1
38,IRQ9 used by override.,1
39,Interpreter enabled,1
40,LAPIC (acpi_id[<*>] lapic_id[<*>] enabled),4
41,LAPIC_NMI (acpi_id[<*>] high edge lint[<*>]),4
42,Local APIC address <*>,1
43,PCI Interrupt Link [LNKA] (IRQs <*> *<*>) *<*>,1
44,PCI Interrupt Link [LNKB] (IRQs <*> *<*>),1
45,PCI Interrupt Link [LNKC] (IRQs <*> *<*>) *<*>,1
46,"PCI Interrupt Link [LNKD] (IRQs <*>) *<*>, disabled.",1
47,"PCI Interrupt Link [LNKE] (IRQs <*>) *<*>, disabled.",1
48,"PCI Interrupt Link [LNKF] (IRQs <*>) *<*>, disabled.",1
49,"PCI Interrupt Link [LNKG] (IRQs <*>) *<*>, disabled.",1
50,"PCI Interrupt Link [LNKH] (IRQs <*>) *<*>, disabled.",1
51,PCI Interrupt Routing Table [<*>],10
52,PCI Root Bridge [PCI0] (<*>:<*>),1
53,"PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>",11
54,Power Button (FF) [PWRF],1
55,Processor [CPU<*>] (supports C1),4
56,RSDP (v000 DELL) @ <*>,1
57,Subsystem revision <*>,1
58,Using IOAPIC for interrupt routing,1
59,Intel(R) Xeon(TM) CPU <*>GHz stepping <*>,1
60,L2 cache: <*>K,5
61,Physical Processor ID: <*>,5
62,"Trace cache: <*> uops, L1 D cache: <*>",5
63,colour VGA+ <*>,1
64,mounted filesystem with ordered data mode.,3
65,<*> <*> <*> ak Exp $,1
66,"apic_id <*>, version <*>, address <*>, GSI <*>",3
67,"routing cache hash table of <*> buckets, <*>Kbytes",1
68,PCI Hot Plug PCI Core version: <*>,1
69,"<*>=LABEL=/ initrd=<*> console=<*> console=<*>,<*> fastboot BOOT_IMAGE=<*>",1
70,Registered protocol family <*>,5
71,Using software bounce buffering for IO (SWIOTLB),1
72,Probing PCI hardware (bus <*>),1
73,Transparent bridge - <*>:<*>:<*>,1
74,Using ACPI for IRQ routing,1
75,Using MMCONFIG at <*>,1
76,Using configuration type <*>,1
77,Compressed image found at block <*>,1
78,Disabled at runtime.,1
79,Initializing.,1
80,Registering netfilter hooks,1
81,Starting in permissive mode,1
82,Unregistering netfilter hooks,1
83,Hash tables configured (established <*> bind <*>),1
84,Direct-Access ANSI SCSI revision: <*>,1
85,Processor ANSI SCSI revision: <*>,1
86,Disk quotas <*>,1
87,Mounted root (ext2 filesystem).,1
88,MegaRAID Model: LD <*> RAID1 <*> Rev: <*>,1
89,PE/PV Model: <*> SCSI BP Rev: <*>,1
90,initialized,1
91,initializing netlink socket (disabled),1
92,passed.,1
93,<*>-ioctl (<*>-<*>) initialised: #<*>#@#<*>#,1
94,allocating divert_blk for eth0,1
95,allocating divert_blk for eth1,1
96,not allocating divert_blk for non-ethernet device <*>,1
97,v2.0:USB HID core driver,1
98,eth0: <*>: e1000_probe: Intel(R) PRO/1000 Network Connection,1
99,eth0: <*>: NIC Link is Up <*> Mbps Full Duplex,1
100,eth1: <*>: Intel(R) PRO/<*> Network Connection,1
101,no floppy controllers found,1
102,RNG not detected,1
103,Wait for ready failed before probe !,6
104,Assuming <*> system bus speed for PIO modes; override with idebus=<*>,1
105,Unknown cmd fd(<*>) cmd(<*>){<*>} arg(<*>) on <*>,1
106,<*> <*> Netfilter core team,4
107,Installing public key data,1
108,... autorun DONE.,2
109,Autodetecting RAID arrays.,2
110,autorun ...,2
111,"md driver <*> MAX_MD_DEVS=<*>, MD_SB_DISKS=<*>",1
112,<*>-rh1 (Release Date: <*> <*>),1
113,<*> (Release Date: <*> <*>),1
114,fw version:[<*>] bios version:[<*>],1
115,probe new device <*>:<*>:<*>: bus <*>:slot <*>:func <*>,1
116,PS/2 mouse device common for all mice,1
117,<*> (<*>),1
118,rpc.statd startup succeeded,1
119,portmap startup succeeded,1
120,Starting ts_fixup: succeeded,1
121,Version <*> Starting,1
122,LSI Logic MegaRAID driver,1
123,scanning scsi channel <*> [Phy <*>] for non-raid devices,1
124,scanning scsi channel <*> for logical drives,1
125,asking for cache data failed,1
126,assuming drive cache: write through,1
127,<*> <*> <*> <*>,1
128,Registering secondary module capability,1
129,"<*> AUX port at <*>,<*> irq <*>",1
130,"<*> KBD port at <*>,<*> irq <*>",1
131,syslog-ng startup succeeded,1
132,syslog-ng version <*> starting,1
133,Detected <*> MHz processor.,1
134,Using <*> MHz HPET timer.,1
135,Using HPET based timekeeping.,1
136,Creating Topspin /dev entries:,1
137,registered new driver hiddev,1
138,registered new driver hub,1
139,registered new driver usbfs,1
140,registered new driver usbhid,1
141,probe of <*> failed with error <*>,1
142,"connection from ""#<*>#""",2
143,"User <*>, coming from <*>, authenticated.",2
144,Now running on <*>'s privileges.,2
145,MOUNTing NFS filesystems: succeeded,1
146,Mounting other filesystems: failed,1
147,Warning: we failed to resolve data source name <*>,34
148,Warning: we failed to resolve trusted host name <*>,1
149,gmetad startup succeeded,1
150,not allocating divert_blk for non-ethernet device sit0,1
151,succeeded,2
152,Server listening on <*> port <*>.,1
153,error: Bind to port <*> on <*> failed: Address already in use.,1
154,Cannot open file <*> for writing (No such file or directory),1
155,Changing permissions on special file <*>,1
156,xinetd startup succeeded,1
157,Reading included configuration file: <*> [file=<*>] [line=<*>],17
158,Started working: <*> available service,1
159,removing chargen,2
160,removing daytime,2
161,removing echo,2
162,removing eklogin,1
163,removing ftp,1
164,removing klogin,1
165,removing kshell,1
166,removing <*>,6
167,xinetd Version <*> started with libwrap loadavg options compiled in.,1
168,"Device: <*>, Temperature changed <*> Celsius to <*> Celsius since last report",1
